id,question,gold_program,gold_answer,program_step1,program_step2
MS/2007/page_179.pdf-1,bao nhiêu phần trăm trong tài sản ròng thu được là giá trị thương hiệu?,"divide(247, 1676)",0.14737,"divide(69, 1676), multiply(#0, 100)","divide(69, 1676), multiply(#0, 100)"
masvn/2020/2020036-MAS_VN_PME_Initiate_Nov_14/page_1_QB8,"So sánh ROE năm 2019F với năm 2018, sự thay đổi là bao nhiêu phần trăm?","subtract(17.2, 18.5), divide(#0, 18.5)",-0.07027,"subtract(17.2, 18.5), divide(#0, 18.5), multiply(#0, 100)
```

Now, let's compute the","subtract(17.2, 18.5), divide(#0, 18.5), multiply(#0, 100)"
GS/2014/page_165.pdf-1,Phần trăm của tổng các khoản phải trả khác và chi phí phải trả trong năm 2013 là do chi trả lương thưởng và phúc lợi là bao nhiêu?,"divide(7874, 16044)",0.49078,"add(7874, 5183), divide(7874, #0)","add(7874, 5183), divide(7874, #0)"
masvn/2020/2020010-190314_MBB_2018review_VN/page_1_QA4,Tỷ lệ ROE cao nhất được ghi nhận trong giai đoạn từ 2013 đến 2019F là bao nhiêu?,"table_max(ROE (%), none)",22.97,"table_max(ROE (%), none)","table_max(ROE (%), none)"
BLK/2017/page_121.pdf-3,Tỷ lệ phần trăm thay đổi trong giá trị ghi sổ của cổ phần công ty tại Pennymac từ năm 2016 đến 2017 là bao nhiêu?,"subtract(342, 301), divide(#0, 301)",0.13621,"subtract(342, 301), divide(#0, 301), multiply(#0, 100)","subtract(342, 301), divide(#0, 301, 100)"
PPG/2012/page_29.pdf-2,Chi phí trung bình trên mỗi cổ phiếu cho các đợt mua lại cổ phiếu trong năm 2012 là bao nhiêu?,"divide(92, 1)",92.0,"divide(92, 1)
```

Kết quả là:
```plaintext","divide(92, 1)"
CME/2017/page_89.pdf-2,Tỷ lệ giảm của chi phí thuế hiệu quả giữa năm 2015 và 2016 là bao nhiêu?,"subtract(36.3%, 32.9%)",0.034,"subtract(36.3, 32.9), divide(#0, 36.3)","subtract(36.3, 32.9), divide(#0, 36.3)"
masvn/2020/2020044-CTCP_a__utu_va_Pha_ttrie__nBa__t_o__ngsa_nAnGia-C/page_6_QA1,Tính giá trị doanh nghiệp bằng cách lấy tổng giá trị các dự án cộng với tiền mặt rồi trừ đi nợ vay.,"add(3286158, 278418), subtract(#0, 1070451)",2494125.0,"add(3286158, 278418), subtract(#0, 1070451)","add(3286158, 278418), subtract(#0, 1070451)"
masvn/2020/2020163-VN_DHG_Update_BUY_MAS_20201117/page_1_QB2,Tính tỷ lệ phần trăm thay đổi lợi nhuận sau thuế (LNST) từ năm 2019 đến 2020.,"subtract(774, 631), divide(#0, 631)",0.22662,"subtract(774, 631), divide(#0, 631), multiply(#0, 100)","subtract(774, 631), divide(multiply(#0, 100), 1)"
masvn/2020/2020060-TLG_Companynote_MAS03.06.2020/page_1_QA8,Doanh thu từ chuyển nhượng bất động sản chiếm bao nhiêu phần trăm trong tổng doanh thu năm 2019?,"divide(95, 3252)",0.02921,"divide(95, 3298)","divide(95, 3298)"
GPN/2008/page_78.pdf-3,Phần nào trong tài sản ròng thu được liên quan đến giá trị thương hiệu (goodwill)?,"divide(13536, 16594)",0.81572,"add(4091, 1031), subtract(13536, #0), divide(#0, 16594)","add(4091, 1031), subtract(13536, #0), divide(#0, 16594)"
masvn/2020/2020193-VN_IndustrialRealEstate_Update_Overweight_MAS_20201215VN-N/page_10_QB2,Tính phần trăm thay đổi doanh thu từ năm 2019 đến 2020 dự báo.,"subtract(7162, 8213), divide(#0, 8213)",-0.12797,"subtract(7162, 8213), divide(#0, 8213)","subtract(7162, 8213), divide(#0, 8213)"
masvn/2020/2020164-DIG_Q3Update_Tradingbuy_MAS_20201117-VN-N/page_1_QB6,"So sánh ROE năm 2020 dự báo với năm 2019, mức thay đổi là bao nhiêu phần trăm?","subtract(9.54, 10.8), divide(#0, 10.8)",-0.11667,"```plaintext
subtract(9.54, 10.8), divide(#0, 10.8), multiply(#0, 100)","subtract(9.54, 10.8), divide(#0, 10.8), multiply(#0, 100)"
masvn/2020/2020040-PPC_Báocáol_n__u-05022020/page_7_QA8,"vào cuối năm 2019, nợ vay chiếm bao nhiêu phần trăm trong tổng lượng tiền mặt và các khoản tương đương tiền của ppc?","add(240, 1060), divide(126, #0)",0.09692,"divide(126, 1300), multiply(#0, 100)","divide(126, 240)"
masvn/2020/2020169-VHMQ32020/page_1_QB4,EPS (thu nhập trên mỗi cổ phiếu) dự kiến tăng bao nhiêu từ năm 2020 đến 2022?,"subtract(11133, 8421)",2712.0,"subtract(11133, 8421), divide(#0, 8421), multiply(#0, 100)","subtract(11133, 8421), divide(#0, 8421), multiply(#0, 100)"
masvn/2020/2020036-MAS_VN_PME_Initiate_Nov_14/page_1_QB5,Tính trung bình lợi nhuận hoạt động kinh doanh (VNDbn) của PME trong giai đoạn 2015 đến 2019F.,"table_average(Lợi nhuận HĐKD (VNDbn), none)",314.8,"```plaintext
add(184, 239), add(#0, 286), add(#0, 309), add(#0, 307), divide(#0, 5)","add(184, 239), add(#0, 286), add(#0, 309), add(#0, 307), divide(#0, 5)"
MO/2014/page_39.pdf-4,Phần nào trong tổng số lô hàng sản phẩm không khói liên quan đến phân khúc Copenhagen trong năm 2014?,"divide(448.6, 793.3)",0.56549,"divide(448.6, 793.3)","divide(448.6, 793.3)"
masvn/2020/2020169-VHMQ32020/page_1_QA7,Doanh thu quý 3/2020 chiếm bao nhiêu phần trăm trong tổng doanh thu dự kiến cho năm 2020?,"divide(26483, 67373)",0.39308,"```plaintext
divide(26483, 67373), multiply(#0, 100)","divide(26483, 67373), multiply(#0, 100)"
masvn/2021/2021185-CRE_Q3Update_Buy_MAS_20211216_VN-N/page_7_QA5,Chênh lệch giữa suất chiết khấu Re và WACC là bao nhiêu điểm phần trăm?,"subtract(16.63%, 14.23%)",0.024,"subtract(16.63, 14.23)","subtract(16.63, 14.23)"
GPN/2010/page_87.pdf-3,"Trong năm 2010, tỷ lệ phần trăm lợi ích thuế thu nhập so với chi phí trả lương bằng cổ phiếu là bao nhiêu?","divide(6.3, 18.1)",0.34807,"divide(-6.3, 18.1)","divide(-6.3, 18.1)"
masvn/2020/2020058-DHC_Companynote_MAS27.05.2020/page_1_QB3,EPS (thu nhập trên mỗi cổ phiếu) của DHC tăng bao nhiêu từ năm 2018 đến năm 2019?,"subtract(3383, 2512)",871.0,"subtract(3383, 2512), divide(#0, 2512)
```

Tính toán:

1. Chênh lệch = 3383 - 2512 = 871
2. Tỷ lệ tăng trưởng = 871 / 2512 ≈ 0.3466

Chuyển đổi thành phần trăm:

```plaintext",...
ILMN/2003/page_58.pdf-1,tỷ lệ lợi tức tích lũy tổng cộng cho cổ phiếu phổ thông của illumina inc. trong bốn năm kết thúc năm 2003 là bao nhiêu?,"subtract(43.81, 100), divide(#0, 100)",-0.5619,"subtract(43.81, 100.00), divide(#0, 100.00)","subtract(43.81, 100), divide(#0, 100)"
masvn/2020/2020013-VN_18042019MWGShortNote_TV_Edit/page_2_QB2,Tăng trưởng doanh thu theo năm (YoY) từ quý 1 năm 2018 đến quý 1 năm 2019 là bao nhiêu phần trăm?,"subtract(25017, 22764), divide(#0, 22764)",0.09897,"subtract(25017, 22764), divide(#0, 22764)
```

Now, calculate the","subtract(25017, 22764), divide(#0, 22764)"
AMT/2007/page_29.pdf-4,phần nào của tài sản Woburn được sử dụng bởi American Tower Corporation?,"divide(57800, 163000)",0.3546,"divide(57100, 163000)",...
CDW/2015/page_70.pdf-1,tổng số lỗ toàn diện khác tích lũy tính bằng triệu là bao nhiêu?,"table_sum(Lỗ toàn diện khác lũy kế, none)",-84.0,"add(-6.3, -16.6), add(#0, -61.1)","add(-6.3, -16.6), add(#0, -61.1)"
masvn/2020/2020163-VN_DHG_Update_BUY_MAS_20201117/page_1_QB8,Tính mức giảm của ROE từ năm 2020 đến 2021.,"subtract(19.2, 20.4), divide(#0, 20.4)",-0.05882,"subtract(20.4, 19.2), divide(#0, 20.4)","subtract(20.4, 19.2), divide(#0, 20.4)"
